problem,inst,time_CPU,choices,conflicts,backtracks,backjumps,restarts,jumps,atoms,rules,bodies,equivalences,variables,eliminated,frozen,constraints,nHornClauses,nDualHornClauses,maxClauseSize,maxPositiveClauseSize,maxNegativeClauseSize,numVPosLitH,numVPosLit,numVNegLitH,numVNegLit,maxPosRSizeC,maxPosRSizeNC,numAtomOccC,numAtomOccNC,maxNumAtomOcc,maxNumPosOccA,maxNumNegOccA,dWidth,dEdges,dNodes,iWidth,iEdges,iNodes,rEdges0,rNodes0,rWidths0,rEdges1,rNodes1,rWidths1,rEdges2,rNodes2,rWidths2,rEdges3,rNodes3,rWidths3,rEdges4,rNodes4,rWidths4,rEdges5,rNodes5,rWidths5,rEdges6,rNodes6,rWidths6,rEdges7,rNodes7,rWidths7,rEdges8,rNodes8,rWidths8,rEdges9,rNodes9,rWidths9,problem_width
HamiltonianPath,gryzzles.16.lp,0.016,668,341,1,340,3,340,1441,2515,1317,1364,1130,0,440,2339,554,802,5,5,1,805,325,480,0,5,2,3923,676,345,345,1,34,3828,2220,,3828,2220,2127,2220,5,3797,2220,33,3728,2220,32,3786,2220,32,3724,2220,32,3746,2220,32,3813,2220,34,3755,2220,34,3773,2220,32,3794,2220,33,6
HamiltonianPath,gryzzles.18.lp,0.047,2836,1032,0,1032,6,1032,1732,3253,1661,1537,1444,0,533,3217,660,1036,5,5,1,1038,406,632,0,5,2,4936,792,381,381,1,37,4784,2642,,4784,2642,3283,2642,9,4286,2642,28,4493,2642,33,4684,2642,36,4684,2642,34,4754,2642,37,4746,2642,37,4678,2642,37,4784,2642,37,4558,2642,32,8
HamiltonianPath,gryzzles.19.lp,0.047,2346,1177,1,1176,9,1176,1842,3483,1775,1659,1524,0,567,3421,702,1090,5,5,1,1092,432,660,0,5,2,5266,842,405,405,1,49,5104,2810,,5104,2810,2969,2810,11,4937,2810,42,5050,2810,48,4965,2810,44,4711,2810,41,5041,2810,47,5071,2810,47,5073,2810,47,5070,2810,47,5045,2810,47,9
HamiltonianPath,gryzzles.2.lp,0.016,428,203,6,197,2,197,1376,2375,1249,1296,1079,0,420,2205,529,767,5,5,1,770,309,461,0,5,2,3721,648,333,333,1,28,3634,2122,,3634,2122,2092,2122,7,3620,2122,28,3403,2122,23,3586,2122,28,3594,2122,28,3600,2122,26,3569,2122,28,3608,2122,29,3627,2122,28,3554,2122,25,6
HamiltonianPath,gryzzles.20.lp,0.047,1791,763,4,759,6,759,1810,3473,1761,1645,1494,0,557,3407,688,1064,5,5,1,1068,426,642,0,5,2,5208,826,393,393,1,44,5044,2754,,5044,2754,3536,2754,14,4570,2754,38,4889,2754,42,4828,2754,40,4971,2754,41,4946,2754,41,5029,2754,40,4827,2754,39,4924,2754,43,4871,2754,42,8
HamiltonianPath,gryzzles.21.lp,0.031,2251,892,9,883,6,883,1738,3233,1657,1560,1435,0,534,3169,663,1027,5,5,1,1030,405,625,0,5,2,4919,798,387,387,1,40,4772,2654,,4772,2654,3014,2654,8,4428,2654,34,4702,2654,41,4490,2654,37,4723,2654,40,4735,2654,39,4650,2654,40,4707,2654,40,4767,2654,40,4640,2654,39,7
HamiltonianPath,gryzzles.22.lp,0.016,1272,506,2,504,3,504,1648,3028,1558,1535,1324,0,505,2894,630,940,5,5,1,944,380,564,0,5,2,4620,762,375,375,1,43,4490,2522,,4490,2522,2882,2522,8,4281,2522,37,4418,2522,39,4187,2522,37,4335,2522,40,4353,2522,40,4471,2522,41,4465,2522,44,4487,2522,43,4382,2522,42,8
HamiltonianPath,gryzzles.23.lp,0.094,4414,2574,2,2572,16,2572,1756,3326,1694,1606,1439,0,540,3240,669,1025,5,5,1,1028,411,617,0,5,2,5017,804,387,387,1,46,4864,2678,,4864,2678,3112,2678,10,4692,2678,41,4441,2678,33,4727,2678,38,4761,2678,42,4837,2678,46,4845,2678,44,4851,2678,46,4864,2678,46,4576,2678,46,9
HamiltonianPath,gryzzles.26.lp,0.016,931,377,2,375,2,375,1712,3211,1641,1570,1397,0,526,3115,653,995,5,5,1,998,399,599,0,5,2,4863,786,381,381,1,37,4718,2614,,4718,2614,3398,2614,10,4163,2614,33,4509,2614,35,4624,2614,34,4652,2614,36,4623,2614,36,4708,2614,36,4679,2614,35,4709,2614,37,4337,2614,34,7
HamiltonianPath,gryzzles.30,0.031,1988,887,2,885,6,885,1524,3860,2352,2769,982,0,560,2806,977,1912,3,3,1,142,142,141,141,3,3,3722,6193,2045,2045,2,29,9362,4279,29,9362,4279,7673,4279,15,9339,4279,28,9362,4279,29,9362,4279,29,9342,4279,29,9362,4279,29,9362,4279,29,9362,4279,29,9362,4279,29,9362,4279,29,
